TeamID,HomeWins,HomeLosses,AwayWins,AwayLosses,NeutralWins,NeutralLosses,TotalWins,TotalLosses,OpponentHomeWins,OpponentHomeLosses,OpponentAwayWins,OpponentAwayLosses,OpponentNeutralWins,OpponentNeutralLosses,OpponentTotalWins,OpponentTotalLosses,TeamName
113,13,2,6,10,0,0,19,12,137,119,106,156,6,13,249,288,Holy_Cross
78,8,3,10,7,1,1,19,11,148,126,97,220,17,25,262,371,E_Kentucky
92,12,6,7,4,0,1,19,11,140,116,91,182,25,36,256,334,Florida_Intl
299,12,5,5,6,2,1,19,12,232,129,124,179,51,39,407,347,Texas_A&M
133,13,1,4,8,2,3,19,12,253,95,111,153,52,41,416,289,Kansas
233,8,4,8,6,3,2,19,12,163,103,114,150,34,23,311,276,Portland
162,12,3,3,8,4,2,19,13,252,89,143,133,57,39,452,261,Maryland
187,9,4,9,6,1,1,19,11,142,110,103,147,28,23,273,280,Murray_St
231,9,3,8,7,2,2,19,12,133,107,92,157,26,30,251,294,PFW
81,10,6,6,5,3,3,19,14,212,112,134,165,35,41,381,318,East_Carolina
293,14,4,2,6,3,1,19,11,217,100,109,152,45,37,371,289,TCU
55,12,2,5,9,2,0,19,11,163,103,114,141,27,31,304,275,Colorado_St
42,12,0,7,10,0,1,19,11,150,117,105,195,20,24,275,336,Cent_Arkansas
272,11,5,5,5,3,4,19,14,235,133,133,182,43,42,411,357,South_Florida
25,11,3,5,8,3,2,19,13,153,123,106,174,25,26,284,323,Boise_St
244,9,6,6,8,4,0,19,14,207,124,114,173,35,39,356,336,Rice
136,7,3,8,6,4,1,19,10,156,101,112,147,32,23,300,271,Kent
291,10,3,7,5,2,0,19,8,92,81,79,125,17,13,188,219,TAM_C._Christi
27,14,3,5,9,0,0,19,12,130,115,106,160,10,8,246,283,Boston_Univ
106,9,2,9,6,1,1,19,9,130,92,83,183,21,28,234,303,Grambling
52,11,2,8,6,0,1,19,9,130,133,119,191,27,31,276,355,Col_Charleston
305,9,4,8,6,2,1,19,11,184,112,131,167,41,36,356,315,Troy
189,10,1,7,6,2,4,19,11,147,87,115,137,26,22,288,246,N_Dakota_St
74,8,6,6,7,4,1,18,14,170,122,153,152,30,31,353,305,Drexel
310,10,2,5,11,3,1,18,14,137,103,92,144,24,17,253,264,UC_Davis
266,9,4,8,7,1,1,18,12,130,96,96,153,11,23,237,272,Siena
33,11,5,5,7,2,1,18,13,155,108,118,173,26,18,299,299,Buffalo
39,12,7,5,6,1,1,18,14,223,96,131,146,51,31,405,273,California
119,8,5,8,8,2,2,18,15,151,138,101,187,27,37,279,362,IL_Chicago
14,11,6,4,6,3,2,18,14,282,116,155,171,55,46,492,333,Arkansas
141,9,4,9,10,0,0,18,14,178,99,114,170,33,17,325,286,Le_Moyne
66,11,4,7,4,0,0,18,8,201,128,118,205,36,45,355,378,Davidson
193,7,4,9,5,2,2,18,11,148,132,120,168,33,35,301,335,NC_A&T
271,8,4,7,5,3,3,18,12,136,111,96,163,25,35,257,309,South_Dakota
111,10,5,8,3,0,3,18,11,150,81,98,149,30,29,278,259,High_Point
336,10,4,8,7,0,1,18,12,198,94,137,118,37,33,372,245,Villanova
345,9,6,7,6,2,2,18,14,245,92,129,155,56,31,430,278,Washington_St
158,11,3,7,8,0,1,18,12,134,103,96,170,13,31,243,304,Manhattan
224,9,1,7,8,1,1,17,10,135,89,84,119,30,29,249,237,Oral_Roberts
320,11,1,4,9,2,1,17,11,122,84,78,165,25,31,225,280,UNC_Greensboro
181,10,4,5,10,2,2,17,16,159,120,127,162,35,31,321,313,Montana_St
236,8,4,7,8,2,2,17,14,125,111,92,180,23,26,240,317,Presbyterian
324,7,6,7,8,3,2,17,16,157,96,112,152,26,21,295,269,UT_Arlington
227,10,5,4,8,3,1,17,14,145,120,112,140,28,25,285,285,Pacific
317,7,4,7,8,3,1,17,13,168,130,125,186,31,26,324,342,ULM
274,11,3,5,8,1,2,17,13,165,117,131,158,31,28,327,303,Southern_Miss
325,9,4,7,9,1,1,17,14,194,143,98,183,42,47,334,373,UT_San_Antonio
38,8,4,9,8,0,1,17,13,143,124,106,156,28,21,277,301,Cal_Poly
72,10,3,6,13,1,0,17,16,135,120,93,190,25,27,253,337,Detroit
309,11,5,5,6,1,2,17,13,179,135,114,201,28,44,321,380,UAB
9,10,3,4,11,3,1,17,15,186,114,146,176,38,26,370,316,Appalachian_St
10,10,5,4,7,3,3,17,15,221,110,139,128,57,26,417,264,Arizona
301,13,5,1,8,3,3,17,16,249,113,129,173,48,38,426,324,Texas_Tech
279,11,3,6,7,0,4,17,14,190,110,137,141,36,27,363,278,St_John's
264,11,5,4,7,2,2,17,14,191,101,129,134,28,28,348,263,Seton_Hall
104,9,7,6,6,2,2,17,15,259,117,120,177,56,48,435,342,Georgia_Tech
53,10,6,7,6,0,1,17,13,133,111,103,175,9,7,245,293,Colgate
45,10,4,5,8,1,3,16,15,217,135,113,183,43,46,373,364,Charlotte
153,8,7,8,8,0,0,16,15,148,113,102,172,9,15,259,300,Loyola_MD
28,8,5,6,8,2,1,16,14,184,98,128,159,43,22,355,279,Bowling_Green
143,8,5,6,7,2,4,16,16,211,71,132,122,51,37,394,230,Liberty
344,10,6,4,7,2,1,16,14,208,108,106,154,43,30,357,292,Washington
41,7,5,8,8,1,1,16,14,126,103,89,163,12,24,227,290,Canisius
84,10,3,5,8,1,1,16,12,144,98,93,169,25,31,262,298,ETSU
356,9,5,6,8,1,2,16,15,158,81,113,144,29,23,300,248,Wright_St
142,8,5,7,7,1,1,16,13,120,140,82,178,10,16,212,334,Lehigh
90,8,5,3,9,5,1,16,15,250,110,129,158,53,39,432,307,Florida
214,9,4,6,8,1,3,16,15,186,82,139,118,45,26,370,226,Northern_Iowa
35,10,5,3,10,3,1,16,16,245,124,109,190,52,47,406,361,BYU
312,9,3,7,9,0,1,16,13,131,98,96,141,23,20,250,259,UC_Riverside
328,9,5,7,8,0,1,16,14,135,114,91,167,13,19,239,300,Utah_Tech
109,6,3,8,9,2,0,16,12,162,95,102,154,27,30,291,279,Harvard
173,13,6,2,8,1,1,16,15,226,107,123,153,49,43,398,303,Minnesota
261,8,4,7,5,1,3,16,12,133,76,87,128,27,20,247,224,SE_Louisiana
167,10,4,3,11,2,2,15,17,164,122,91,200,31,36,286,358,Mercer
40,7,4,5,9,3,1,15,14,128,143,123,164,25,31,276,338,Campbell
