Rank,Previous,School,Conference,Record,Road,Neutral,Home,Quad 1,Quad 2,Quad 3,Quad 4
296,297,Chicago St.,DI Independent,9-18,5-12,1-1,3-5,1-2,0-4,1-6,7-6
297,296,South Carolina St.,MEAC,12-18,5-13,0-1,7-4,0-3,0-2,0-6,12-7
298,298,NIU,MAC,9-20,5-11,1-0,3-9,0-4,2-1,3-7,4-8
299,299,Alcorn,SWAC,13-18,7-14,0-1,6-3,0-5,0-5,0-2,13-6
300,300,Jackson St.,SWAC,15-17,7-13,2-2,6-2,0-4,0-0,2-4,13-9
301,301,Le Moyne,NEC,12-17,5-14,0-0,7-3,0-1,0-1,1-5,11-10
302,302,Valparaiso,MVC,6-25,1-13,0-1,5-11,0-5,0-6,1-9,5-5
303,303,USC Upstate,Big South,7-20,4-12,0-1,3-7,0-1,1-2,2-7,4-10
304,305,Campbell,CAA,11-18,3-11,0-1,8-6,0-1,0-4,2-5,9-8
305,304,Delaware St.,MEAC,13-18,4-11,4-2,5-5,0-2,0-1,0-3,13-12
306,307,Southeastern La.,Southland,12-17,6-10,0-3,6-4,0-3,1-3,1-3,10-8
307,306,Robert Morris,Horizon,8-22,3-13,0-0,5-9,0-2,0-2,1-12,7-6
308,308,Bethune-Cookman,SWAC,15-16,5-11,1-3,9-2,0-2,0-1,0-2,15-11
309,309,ULM,Sun Belt,9-19,3-12,0-1,6-6,0-4,0-0,3-8,6-7
310,310,Elon,CAA,11-19,3-12,2-1,6-6,0-2,1-3,0-6,10-8
311,311,Eastern Ill.,OVC,10-18,4-11,1-1,5-6,0-3,0-2,2-3,8-10
312,312,Northern Ariz.,Big Sky,14-19,6-12,1-2,7-5,0-3,1-0,2-10,11-6
313,313,Lafayette,Patriot,10-21,6-9,0-2,4-10,0-1,1-2,0-9,9-9
314,314,Alabama St.,SWAC,10-19,3-13,3-1,4-5,0-4,0-3,0-1,10-11
315,315,Charleston So.,Big South,7-20,3-12,0-1,4-7,0-4,0-2,2-5,5-9
316,316,Navy,Patriot,12-18,3-13,0-0,9-5,0-0,0-3,0-3,12-12
317,317,Sacramento St.,Big Sky,8-24,2-13,2-3,4-8,0-1,0-1,4-10,4-12
318,318,Bellarmine,ASUN,5-23,2-16,0-0,3-7,0-4,0-1,1-7,4-11
319,319,Coastal Carolina,Sun Belt,7-22,1-9,1-1,5-12,0-2,0-3,1-8,6-9
320,320,DePaul,Big East,3-29,0-11,0-3,3-15,0-15,0-9,0-2,3-3
321,321,Idaho,Big Sky,9-21,4-10,1-1,4-10,0-1,0-2,2-9,7-9
322,322,South Dakota,Summit League,9-20,2-12,1-2,6-6,0-0,0-2,1-7,8-11
323,323,Eastern Mich.,MAC,11-18,4-11,0-1,7-6,0-2,1-1,0-6,10-9
324,324,FDU,NEC,13-17,8-9,0-1,5-7,0-2,0-0,0-2,13-13
325,325,William & Mary,CAA,8-23,2-13,1-3,5-7,0-1,0-2,0-11,8-9
326,326,Alabama A&M;,SWAC,11-22,3-14,1-3,7-5,0-2,0-2,0-6,11-12
327,327,Prairie View,SWAC,8-21,4-15,1-0,3-6,0-3,0-2,2-1,6-15
328,328,Ark.-Pine Bluff,SWAC,9-18,5-12,0-0,4-6,0-3,0-2,0-1,9-12
329,329,Southern Ind.,OVC,5-24,3-13,0-1,2-10,0-3,1-1,0-6,4-14
330,330,NJIT,America East,6-21,2-13,0-0,4-8,0-1,0-3,3-4,3-13
331,331,UTRGV,WAC,4-25,1-14,0-2,3-9,0-3,0-3,2-9,2-10
332,332,Northwestern St.,Southland,7-23,3-13,0-3,4-7,0-3,0-2,0-5,7-13
333,333,Tex. A&M-Commerce;,Southland,10-20,4-12,1-1,5-7,0-6,1-1,0-4,9-9
334,334,Dartmouth,Ivy League,4-21,0-14,0-0,4-7,0-2,0-4,0-9,4-6
335,335,Manhattan,MAAC,6-23,4-12,0-1,2-10,0-2,0-0,1-9,5-12
336,336,Tennessee Tech,OVC,7-21,3-13,0-0,4-8,0-1,0-1,0-8,7-11
337,337,Hampton,CAA,6-24,1-12,3-3,2-9,0-0,0-3,1-10,5-11
338,338,Army West Point,Patriot,8-22,4-11,0-0,4-11,0-0,0-2,0-3,8-17
339,339,Morgan St.,MEAC,8-20,3-12,0-3,5-5,0-3,0-2,0-3,8-12
340,340,New Orleans,Southland,6-23,2-15,1-2,3-6,0-3,0-4,0-4,6-12
341,341,Florida A&M;,SWAC,5-22,2-14,0-1,3-7,0-6,0-2,0-0,5-14
342,342,Cal Poly,Big West,3-28,0-16,1-1,2-11,0-0,0-2,1-14,2-12
343,343,N.C. A&T;,CAA,7-25,2-14,1-4,4-7,0-3,0-6,0-6,7-10
344,344,Central Ark.,ASUN,7-23,4-13,0-0,3-10,0-2,0-0,1-7,6-14
345,345,Buffalo,MAC,3-27,2-11,0-3,1-13,0-3,0-2,0-10,3-12
346,346,Loyola Maryland,Patriot,6-25,5-13,0-1,1-11,0-1,0-3,1-4,5-17
347,347,UIW,Southland,6-23,3-14,0-1,3-8,0-2,0-1,1-4,5-16
348,348,LIU,NEC,7-22,1-17,1-0,5-5,0-0,0-3,1-6,6-13
349,349,UMES,MEAC,5-20,0-15,0-1,5-4,0-2,0-1,0-6,5-11
350,350,Holy Cross,Patriot,9-23,4-14,1-1,4-8,0-1,0-3,1-4,8-15
351,351,Southeast Mo. St.,OVC,5-22,1-14,0-1,4-7,0-2,0-1,0-7,5-12
352,352,Saint Francis (PA),NEC,6-22,2-14,0-0,4-8,0-1,0-3,0-2,6-16
353,353,Siena,MAAC,4-28,2-13,0-3,2-12,0-1,0-2,0-9,4-16
354,354,Lindenwood,OVC,6-22,3-12,2-0,1-10,0-2,0-1,0-3,6-16
355,355,Stonehill,NEC,3-27,0-19,0-0,3-8,0-2,0-3,0-7,3-15
356,356,Detroit Mercy,Horizon,1-31,0-20,0-0,1-11,0-3,0-4,0-13,1-11
357,357,Houston Christian,Southland,4-23,1-15,0-0,3-8,0-6,0-2,0-3,4-12
358,358,VMI,SoCon,1-28,0-15,0-3,1-10,0-3,0-3,0-12,1-10
359,359,Pacific,WCC,4-26,1-13,0-1,3-12,0-6,1-2,0-6,3-12
360,360,IUPUI,Horizon,3-26,2-14,0-2,1-10,0-1,0-3,1-11,2-11
361,361,Coppin St.,MEAC,2-27,0-17,0-2,2-8,0-2,0-1,0-7,2-17
362,362,Mississippi Val.,SWAC,1-30,0-22,0-0,1-8,0-6,0-3,0-3,1-18
