TeamID,HomeWins,HomeLosses,AwayWins,AwayLosses,NeutralWins,NeutralLosses,TotalWins,TotalLosses,OpponentHomeWins,OpponentHomeLosses,OpponentAwayWins,OpponentAwayLosses,OpponentNeutralWins,OpponentNeutralLosses,OpponentTotalWins,OpponentTotalLosses,TeamName
60,9,2,6,8,0,1,15,11,132,92,94,155,18,16,244,263,Cornell
164,8,7,3,8,4,1,15,16,259,114,116,202,45,56,420,372,Massachusetts
140,8,7,5,8,2,4,15,19,262,131,109,223,44,51,415,405,La_Salle
232,7,6,7,8,1,1,15,15,151,81,94,174,22,37,267,292,PFW
46,6,7,6,9,3,1,15,17,157,79,90,163,32,26,279,268,Chattanooga
262,7,4,7,8,1,2,15,14,138,90,92,166,31,38,261,294,SE_Louisiana
16,8,5,7,8,0,3,15,16,130,110,103,200,14,21,247,331,Army
241,5,5,7,10,3,0,15,15,173,101,109,227,23,27,305,355,Queens_NC
246,12,4,1,11,2,3,15,18,267,136,126,195,52,57,445,388,Richmond
245,8,7,6,7,1,1,15,15,150,82,76,159,35,22,261,263,Rice
67,6,8,6,7,3,1,15,16,257,115,106,184,50,57,413,356,Davidson
208,6,4,8,10,1,0,15,14,172,98,105,231,34,27,311,356,North_Alabama
342,6,5,6,9,3,1,15,15,137,91,82,179,31,28,250,298,W_Carolina
253,8,6,7,11,0,0,15,17,131,113,82,204,10,24,223,341,Sacred_Heart
357,7,5,5,9,3,2,15,16,159,96,79,160,26,35,264,291,WKU
204,8,4,4,10,3,1,15,15,117,105,83,166,30,22,230,293,Niagara
37,10,5,4,8,1,3,15,16,160,123,103,205,38,49,301,377,Cal_Baptist
31,7,4,7,8,1,1,15,13,163,78,97,174,14,19,274,271,Bryant
288,7,3,7,9,1,1,15,13,177,97,114,196,29,26,320,319,Stetson
98,10,6,5,6,0,4,15,16,242,120,118,210,40,58,400,388,G_Washington
304,10,2,4,11,1,1,15,14,124,81,81,185,22,21,227,287,TN_Martin
222,9,7,2,8,4,2,15,17,231,86,92,161,61,40,384,287,Oklahoma
148,7,5,6,9,2,2,15,16,166,85,123,145,34,39,323,269,Long_Beach_St
247,7,5,8,6,0,3,15,14,133,94,84,162,32,27,249,283,Rider
195,9,1,4,10,1,1,14,12,119,59,82,145,34,21,235,225,NC_Central
99,9,4,3,11,2,1,14,16,170,107,107,179,36,31,313,317,Ga_Southern
248,9,4,5,10,0,3,14,17,141,100,86,180,24,34,251,314,Robert_Morris
261,9,2,4,12,1,1,14,15,131,89,83,165,27,30,241,284,SC_Upstate
358,9,4,4,11,1,1,14,16,134,99,81,162,39,36,254,297,Wofford
273,9,9,4,7,1,2,14,18,200,120,93,178,51,41,344,339,South_Florida
