TeamID,HomeWins,HomeLosses,AwayWins,AwayLosses,NeutralWins,NeutralLosses,TotalWins,TotalLosses,OpponentHomeWins,OpponentHomeLosses,OpponentAwayWins,OpponentAwayLosses,OpponentNeutralWins,OpponentNeutralLosses,OpponentTotalWins,OpponentTotalLosses,TeamName,Ranking,Quadrant
315,10,4,6,10,1,0,17,14,129,105,91,168,18,19,238,292,UMBC,240.0,4
132,9,4,9,5,1,1,19,10,160,95,91,200,20,31,271,326,Jacksonville St.,241.0,4
260,6,5,5,10,1,3,12,18,142,94,95,174,24,35,261,303,Southeast Mo. St.,242.0,4
101,6,11,0,11,0,3,6,25,215,85,91,147,38,33,344,265,Georgetown,243.0,4
7,6,3,9,12,2,1,17,16,177,97,101,217,34,31,312,345,Alcorn,244.0,4
338,7,6,7,8,0,1,14,15,123,114,83,178,19,20,225,312,Western Ill.,245.0,4
202,6,4,5,10,2,2,13,16,138,91,95,158,21,18,254,267,Niagara,246.0,4
245,3,10,4,14,0,0,7,24,158,84,95,161,16,24,269,269,Robert Morris,247.0,4
16,8,4,4,12,1,0,13,16,143,99,96,185,13,13,252,297,Army West Point,248.0,4
233,5,7,5,9,2,1,12,17,99,92,68,144,29,20,196,256,Portland St.,249.0,4
299,3,8,2,13,1,1,6,22,134,75,94,147,26,32,254,254,UT Martin,250.0,4
321,6,4,3,13,0,1,9,18,129,79,92,137,42,26,263,242,UT Arlington,251.0,4
189,3,8,6,11,0,2,9,21,156,112,93,181,34,32,283,325,NIU,252.0,4
119,3,8,2,14,0,1,5,23,117,94,75,146,21,25,213,265,Idaho St.,253.0,4
350,11,0,7,8,2,1,20,9,154,99,90,183,29,34,273,316,Winthrop,254.0,4
258,4,7,7,8,1,1,12,16,165,77,93,185,31,34,289,296,USC Upstate,255.0,4
259,6,1,5,10,4,3,15,14,126,67,75,141,33,31,234,239,Southeastern La.,256.0,4
21,7,4,8,8,1,1,16,13,179,79,100,172,30,24,309,275,Bellarmine,258.0,4
27,10,4,8,8,2,0,20,12,138,112,97,213,14,21,249,346,Boston U.,259.0,4
